Source.Name,window,start_time_ms,time_mean_x,time_sd_x,time_rms_x,time_kurtosis_x,time_crest_x,fft_max_x,fft_rms_x,spectral_centroid_x,spectral_entropy_x,time_mean_y,time_sd_y,time_rms_y,time_kurtosis_y,time_crest_y,fft_max_y,fft_rms_y,spectral_centroid_y,spectral_entropy_y,time_mean_z,time_sd_z,time_rms_z,time_kurtosis_z,time_crest_z,fft_max_z,fft_rms_z,spectral_centroid_z,spectral_entropy_z,type
cage3.csv,1,3597,0.01748468,0.161973489,0.162914472,-0.000729834,3.353827269,6.668602528,2.581515077,129.964799,6.170658428,-0.079198832,0.123571048,0.146772814,-0.311946465,2.633151117,20.274901,2.663666949,124.6384055,3.855023433,1.039115934,0.083364144,1.042454557,-0.333147792,1.226962836,266.013679,23.55031105,32.99615472,0.044065011,cage
cage3.csv,2,4282,0.016855223,0.146763964,0.147728669,-0.408551932,2.602886787,7.536484078,2.374743129,128.8695878,6.19889912,-0.081062309,0.124851222,0.148858744,-0.40674856,2.840625878,20.751951,2.708709818,113.825249,3.597410854,1.039919855,0.091203206,1.043911553,-0.373043532,1.23951593,266.219483,23.57589873,30.99711813,0.05000763,cage
cage3.csv,3,4967,0.02001759,0.16627634,0.167476939,-0.200499933,2.950501746,8.899230317,2.68532669,132.1553811,6.054648249,-0.0797405,0.120236395,0.144275216,0.120377753,2.969789343,20.413568,2.632666522,117.1289908,4.001183656,1.040483504,0.081550928,1.043674507,-0.388551989,1.19488403,266.363777,23.57958179,30.36785147,0.044263997,cage
cage3.csv,4,5652,0.029095668,0.152009892,0.154769393,0.815774551,3.276358395,7.448491,2.51928965,128.3420239,6.257797773,-0.078278512,0.11186927,0.136536658,-0.058327926,3.334796732,20.039299,2.517092787,118.1230894,3.692161534,1.038697266,0.0830315,1.042010672,-0.473353384,1.184608789,265.9065,23.54055125,33.2494599,0.044863581,cage
cage3.csv,5,6337,0.02123259,0.16080153,0.162197272,0.062693364,2.805706872,5.978839997,2.600077099,131.0312742,6.307249827,-0.081705051,0.123165881,0.1478024,0.484131889,3.328383023,20.916493,2.690664277,121.3159807,3.892375751,1.041273129,0.083430211,1.044610133,-0.502771261,1.208304381,266.565921,23.59909185,32.66544051,0.043950838,cage
cage3.csv,6,7022,0.018618578,0.150524278,0.151671387,-0.207882902,2.850722266,6.486441558,2.43261086,126.2173716,6.246775677,-0.078583715,0.113836199,0.138325994,0.326281128,3.000441123,20.117431,2.529041099,112.6096738,3.989538198,1.038712523,0.077437528,1.041595064,-0.529428188,1.175940673,265.910406,23.53593601,28.93129541,0.039711754,cage
cage3.csv,7,7707,0.022426594,0.162263652,0.163806119,0.070587697,3.143307479,8.01427704,2.645243333,132.0197659,6.085286501,-0.083679219,0.117065606,0.143897768,-0.06718073,3.075982384,21.42188,2.662636338,121.3004886,3.710962125,1.03733823,0.073903158,1.039967442,-0.716801116,1.187875648,265.558587,23.50204805,31.8802551,0.03771253,cage
cage3.csv,8,8392,0.019778262,0.151805688,0.153088689,-0.224250567,2.897692856,9.006511353,2.457808433,134.5031375,5.98759685,-0.078011508,0.122919308,0.145584861,-0.196893871,2.963192725,19.970946,2.642293019,121.586938,3.745767768,1.03844548,0.088285625,1.042191617,-0.543387411,1.210406013,265.842043,23.53975181,32.78362909,0.047562355,cage
cage3.csv,9,9077,0.024171805,0.151341504,0.153259671,0.816751725,3.702102418,8.707899577,2.482113933,127.264269,6.025093779,-0.077540414,0.11217479,0.136366049,0.044685921,3.134871198,19.850346,2.509428866,113.0702034,3.768733097,1.038666738,0.083645177,1.042029322,-0.580850848,1.206610959,265.898685,23.54040993,29.65104518,0.043157335,cage
cage3.csv,10,9762,0.010502813,0.165218162,0.165551654,0.555926112,3.742813705,7.436698638,2.650532106,128.4394836,6.081372524,-0.085309035,0.111823773,0.140649165,0.108935354,3.037671785,21.839113,2.62927487,115.8501798,3.522151725,1.039492582,0.079293859,1.042512515,-0.461355285,1.182165185,266.110101,23.55522343,32.91189013,0.042472232,cage
